Scrip Code,Scrip ID,Scrip Name,Status,Group,Face Value,ISIN No,Industry
540812,KMSL,Kids Medical Systems Ltd,S,MT,10.00,INE457Y01014,Healthcare Facilities
540468,KMSMEDI,KMS Medisurgi Ltd,Active,M,10.00,INE870V01014,Healthcare Supplies
542323,KPIGLOBAL,K.P.I. Global Infrastructure Ltd,Active,M,10.00,INE542W01017,Electric Utilities
539997,KPL,Kwality Pharmaceuticals Ltd,Active,M,10.00,INE552U01010,Pharmaceuticals
542459,KRANTI,Kranti Industries Ltd,Active,M,10.00,INE911T01010,Auto Parts & Equipment
540952,LAL,Lorenzini Apparels Ltd,Active,M,10.00,INE740X01015,Other Apparels & Accessories
537669,LAXMIPATI,Laxmipati Engineering Works Ltd,Active,M,10.00,INE920P01019,Commercial Vehicles
541196,LEX,Lex Nimble Solutions Ltd,Active,M,10.00,INE860Y01019,Consulting Services
541973,MACH,Mac Hotels Ltd,Active,M,10.00,INE004Z01011,Hotels
542503,MAHIP,Mahip Industries Ltd,S,M,10.00,INE00CX01017,Containers & Packaging
540402,MANAS,Manas Properties Ltd,Active,M,10.00,INE800W01019,Realty
540396,MANOMAY,Manomay Tex India Ltd,Active,M,10.00,INE784W01015,Textiles
541974,MANORAMA,Manorama Industries Ltd,Active,M,10.00,INE00VM01010,Other Food Products
534563,MASL,MAX ALERT SYSTEMS LTD.,Active,M,10.00,INE253N01010,Industrial Machinery
780009,MCL (ITP),Madhuban Constructions Ltd (ITP),S,IP,10.00,INE145Q01011,-
540937,MEDICO,Medico Remedies Ltd,Active,M,10.00,INE630Y01016,Pharmaceuticals
540519,MEERA,Meera Industries Ltd,Active,M,10.00,INE343X01018,Industrial Machinery
541352,MEGASTAR,Megastar Foods Ltd,Active,M,10.00,INE00EM01016,Other Food Products
540150,MHEL,Mewar Hi-Tech Engineering Ltd,Active,M,10.00,INE957U01011,Construction & Engineering
541337,MILEFUR,Milestone Furniture Ltd,Active,M,10.00,INE424Z01011,"Furniture,Furnishing,Paints"
542801,MISQUITA,Misquita Engineering Ltd,Active,M,10.00,INE957W01025,Industrial Machinery
535910,MMLF,Money Masters Leasing & Finance Ltd,Active,M,10.00,INE340O01013,Finance (including NBFCs)
540809,MRCEXIM,MRC Exim Ltd,Active,M,10.00,INE333Y01017,Comm.Trading  & Distribution
543262,MRP,MRP Agro Ltd,Active,M,10.00,INE0D7801012,Distributors
539229,MRSS,Majestic Research Services and Solutions Ltd,Active,M,10.00,INE196R01012,Diversified
539521,NAVIGANT,Navigant Corporate Advisors Ltd,Active,M,10.00,INE364T01012,Other Financial Services
543305,NAVODAYENT,Navoday Enterprises Ltd,Active,MT,10.00,INE0DB001013,Consulting Services
538668,NAYSAA,Naysaa Securities Ltd,Active,M,10.00,INE898Q01015,Finance (including NBFCs)
540698,NEL,Nouritrans Exim Ltd,S,MT,10.00,INE555X01017,Comm.Trading  & Distribution
536644,NEWEVER,Newever Trade Wings Ltd,S,MT,10.00,INE596O01010,Comm.Trading  & Distribution
541418,NGIL,Nakoda Group of Industries Ltd,Active,M,10.00,INE236Y01012,Packaged Foods
539843,NINSYS,NINtec Systems Ltd,Active,M,10.00,INE395U01014,IT Consulting & Software
542771,NOVATEOR,Novateor Research Laboratories Ltd,Active,M,10.00,INE08JY01013,Personal Products
542628,NSL,Northern Spirits Ltd,Active,M,10.00,INE01BL01012,Comm.Trading  & Distribution
541206,OBCL,Orissa Bengal Carrier Ltd,Active,M,10.00,INE426Z01016,Transportation - Logistics
540416,OCTAWARE,Octaware Technologies Ltd,Active,M,10.00,INE208U01019,Internet Software & Services
539116,OPCHAINS,O. P. Chains Ltd,Active,M,10.00,INE118Q01018,Comm.Trading  & Distribution
542694,PARSHVA,Parshva Enterprises Ltd,Active,M,10.00,INE05MV01019,Comm.Trading  & Distribution
539352,PBFL,P. B. Films Ltd,S,MT,10.00,INE212Q01019,Movies & Entertainment
539273,PECOS,Pecos Hotels and Pubs Ltd,Active,M,10.00,INE484S01010,Restaurants
539401,PJL,Patdiam Jewellery Ltd,Active,M,10.00,INE473T01011,Other Apparels & Accessories
537573,POLYMAC,Polymac Thermoformers Ltd,Active,M,10.00,INE826P01018,Plastic Products
540727,POOJA,Poojawestern Metaliks Ltd,Active,M,10.00,INE973X01012,Other Industrial Products
540404,PRIMEFRESH,Prime Fresh Ltd,Active,M,10.00,INE442V01012,Other Agricultural Products
534109,PYXISFIN,Pyxis Finvest Ltd,Active,M,10.00,INE883L01018,Finance (including NBFCs)
537785,RACE,Race Eco Chain Ltd,Active,M,10.00,INE084Q01012,Distributors
540125,RADHIKAJWE,Radhika Jeweltech Ltd,Active,M,10.00,INE583V01013,Other Apparels & Accessories
538921,RAFL,Raghuvansh Agrofarms Ltd,Active,M,10.00,INE865P01016,Other Agricultural Products
541601,RAJNISH,Rajnish Wellness Ltd,Active,M,10.00,INE685Z01017,Pharmaceuticals
541945,RANJEET,Ranjeet Mechatronics Ltd,Active,M,10.00,INE01A501019,Construction & Engineering
541634,RAWEDGE,Raw Edge Industrial Solutions Ltd,Active,M,10.00,INE960Z01014,Construction Materials
543285,RCAN,Rajeshwari Cans Ltd,Active,M,10.00,INE0CQ101015,Containers & Packaging
534708,RCRL,RCL RETAIL LTD.,S,MT,10.00,INE892L01019,Department Stores
539760,RELICAB,Relicab Cable Manufacturing Ltd,Active,M,10.00,INE773T01014,Other Elect.Equip./ Prod.
540426,RELSTRUCT,Relstruct Buildcon Ltd,S,MT,10.00,INE792V01010,Realty
541151,RIDINGS,Ridings Consulting Engineers India Ltd,Active,M,10.00,INE314Z01014,Consulting Services
542383,RITCO,Ritco Logistics Ltd,Active,M,10.00,INE01EG01016,Transportation - Logistics
540843,RITHWIKFMS,Rithwik Facility Management Services Ltd,Active,M,10.00,INE819Y01015,Sp.Consumer Services
536456,RJBIOTECH,R J Bio-Tech Ltd,Active,M,10.00,INE594O01015,Other Agricultural Products
540358,RMC,RMC Switchgears Ltd,Active,M,10.00,INE655V01019,Other Elect.Equip./ Prod.
543171,ROJL,RO Jewels Ltd,Active,M,10.00,INE0BDU01010,Other Apparels & Accessories
542145,RONI,Roni Households Ltd,Active,M,10.00,INE02AP01013,Comm.Trading  & Distribution
542599,ROOPSHRI,Roopshri Resorts Ltd,Active,M,10.00,INE03WT01017,Hotels
540082,RSTL,Riddhi Steel and Tube Ltd,Active,M,10.00,INE367U01013,Iron & Steel Products
543274,RTL,Rangoli Tradecomm Ltd,Active,M,10.00,INE0EMB01015,Textiles
539836,RUBY,Ruby Cables Ltd,S,MT,10.00,INE812T01010,Other Elect.Equip./ Prod.
540715,SAGAR,Sagar Diamonds Ltd,Active,M,10.00,INE146Y01013,Other Apparels & Accessories
780015,SANASATECH (ITP),Sanasa Tech Feb Ltd (ITP),S,IP,10.00,INE760Q01017,-
542725,SBC,SBC Exports Ltd,Active,M,10.00,INE04AK01010,Other Apparels & Accessories
543218,SBGLP,Suratwwala Business Group Ltd,Active,M,10.00,INE05ST01010,Realty
540782,SBRANDS,Sanghvi Brands Ltd,Active,M,10.00,INE204Y01010,Hotels
540757,SCPL,Sheetal Cool Products Ltd,Active,M,10.00,INE501Y01019,Packaged Foods
535647,SDC,SDC Techmedia Ltd,Active,M,10.00,INE807O01011,Movies & Entertainment
543234,SECMARK,SecMark Consultancy Ltd,Active,M,10.00,INE0BTM01013,IT Consulting & Software
541929,SGIL,Synergy Green Industries Ltd,Active,M,10.00,INE00QT01015,Other Industrial Products
543244,SHINEFASH,Shine Fashions (India) Ltd,Active,M,10.00,INE0BLY01015,Textiles
540072,SHIVAEXPO,Shiva Granito Export Ltd,Active,M,10.00,INE191V01015,Construction Materials
541112,SHREESHAY,Shreeshay Engineers Ltd,Active,M,10.00,INE452Z01012,Construction & Engineering
540736,SIDDH,Siddharth Education Services Ltd,S,M,10.00,INE930X01012,Education
538667,SIROHIA,Sirohia & Sons Ltd,Active,MT,10.00,INE785O01019,Comm.Trading  & Distribution
542728,SKIEL,SK International Export Ltd,Active,M,10.00,INE04ST01013,Other Apparels & Accessories
542146,SKIFL,Shree Krishna Infrastructure Ltd,Active,M,10.00,INE951Z01013,Realty
540269,SKL,Super Fine Knitters Ltd,Active,M,10.00,INE459U01018,Other Apparels & Accessories
541967,SKYGOLD,Sky Gold Ltd,Active,M,10.00,INE01IU01018,Other Apparels & Accessories
543065,SMAUTO,SM Auto Stamping Ltd,Active,M,10.00,INE0C4I01011,Other Industrial Goods
541799,SMEL,Sungold Media and Entertainment Ltd,Active,M,10.00,INE266S01011,Advertising & Media
540393,SMLT,Sarthak Metals Ltd,Active,M,10.00,INE017W01010,Iron & Steel Products
540084,SPICY,Spicy Entertainment and Media Ltd,Active,M,10.00,INE592O01019,Movies & Entertainment
540079,SPRAYKING,Sprayking Agro Equipment Ltd,Active,M,10.00,INE537U01011,Other Industrial Products
538402,SPS,SPS Finquest Ltd,Active,M,10.00,INE502O01018,Finance (including NBFCs)
536710,SRGSFL,S R G Securities Finance Ltd,Active,M,10.00,INE326P01019,Finance (including NBFCs)
535466,SRL,SAMRUDDHI REALTY LTD.,S,M,10.00,INE621O01016,Realty
539026,SSPNFIN,SSPN Finance Ltd,Active,M,10.00,INE820R01017,Other Financial Services
540492,STARLENT,Starlineps Enterprises Ltd,Active,M,5.00,INE594W01034,Comm.Trading  & Distribution
536738,STELLAR,Stellar Capital Services Ltd,Active,M,10.00,INE325P01011,Other Financial Services
540738,STL,Shreeji Translogistics Ltd,Active,M,10.00,INE402Y01010,Transportation - Logistics
536671,SUBHTEX,Subh Tex (India) Ltd,S,MT,10.00,INE427O01018,Textiles
542683,SUICH,Suich Industries Ltd,S,MT,10.00,INE00CU01013,Telecom Equipment
542025,SUNRETAIL,Sun Retail Ltd,Active,M,10.00,INE206Z01012,Comm.Trading  & Distribution
780008,SUPERNOVA (ITP),Supernova Advertising Ltd (ITP),Active,IP,10.00,INE018Q01010,-
541701,SUPERSHAKT,Supershakti Metaliks Ltd,Active,M,10.00,INE00SY01011,Iron & Steel Products
539041,SVPHOUSING,SVP Housing Ltd,Active,M,10.00,INE369Q01017,Comm.Trading  & Distribution
539842,SYSCO,Sysco Industries Ltd,S,M,10.00,INE410U01011,Containers & Packaging
540332,TANVI,Tanvi Foods (India) Ltd,Active,M,10.00,INE978V01015,Comm.Trading  & Distribution
538496,TARINI,Tarini International Ltd,Active,M,10.00,INE849M01017,Consulting Services
537119,TENTIMETAL,Tentiwala Metal Products Ltd,S,M,10.00,INE486P01011,Aluminium
543310,TIMESGREEN,Times Green Energy (India) Ltd,Active,MT,10.00,INE0B6101012,Other Agricultural Products
539985,TITAANIUM,Titaanium Ten Enterprise Ltd,Active,M,10.00,INE120V01014,Textiles
538579,TRIVIKRAMA,Trivikrama Industries Ltd,Active,MT,10.00,INE641Q01019,Comm.Trading  & Distribution
541228,TRL,Taylormade Renewables Ltd,Active,M,10.00,INE459Z01017,Industrial Machinery
541338,UHZAVERI,U. H. Zaveri Ltd,Active,M,10.00,INE556Z01010,Other Apparels & Accessories
539314,UNIAUTO,Universal Autofoundry Ltd,Active,M,10.00,INE203T01012,Auto Parts & Equipment
537582,UNISHIRE,Unishire Urban Infra Ltd,Active,M,10.00,INE210P01015,Realty
539402,VAL,Vaksons Automobiles Ltd,Active,M,10.00,INE256S01012,Other Agricultural Products
540729,VANTABIO,Vanta Bioscience Ltd,Active,M,10.00,INE695X01011,Pharmaceuticals
543241,VGIL,Veer Global Infraconstruction Ltd,Active,M,10.00,INE244W01010,Realty
539659,VIDLI,Vidli Restaurants Ltd,Active,M,10.00,INE564S01019,Restaurants
542046,VIVIDM,Vivid Mercantile Ltd,Active,M,10.00,INE647Z01017,Realty
539222,VMV,VMV Holidays Ltd,Active,M,10.00,INE451S01019,Travel Support Services
542654,VRFILMS,V R Films & Studios Ltd,Active,M,10.00,INE06LG01010,Specialty Retail
540252,VSL,Veeram Securities Ltd,Active,M,10.00,INE607V01010,Other Apparels & Accessories
541445,WAA,Waa Solar Ltd,Active,M,10.00,INE799N01012,Other Elect.Equip./ Prod.
539337,WAAREE,Waaree Technologies Ltd,Active,M,10.00,INE725P01012,Containers & Packaging
780016,WEBSL (ITP),Web Element Solutions Ltd (ITP),Active,IP,10.00,INE562Q01017,-
538128,WOMENSNEXT,Womens Next Loungeries Ltd,S,MT,10.00,INE174Q01011,Other Apparels & Accessories
540550,YUG,Yug Decor Ltd,Active,M,10.00,INE796W01019,Specialty Chemicals
